CODIGO;Código Nuevo;NOMBRE;Región Codigo;Región Nombre;COMUNA;Nom. Comuna;SS Codigo;SS Nombre;Tipo de Establecimiento;Nivel de Atención;Nivel de Atención DEIS;Dependencia de Ejecución;Certificación;Hospital;Especialidad;ACTIVO;Vigente;Código Nuevo
29-703;129703;Centro Comunitario de Salud Familiar Consultorio Alemania de Angol;9;De La Araucanía;09201;Angol;29;A. Norte;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129703
29-705;129705;Centro Comunitario de Salud Familiar Capitán Pastene;9;De La Araucanía;09207;Lumaco;29;A. Norte;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129705
29-718;129718;Centro Comunitario de Salud Familiar Cons. Victoria;9;De La Araucanía;09211;Victoria;29;A. Norte;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129718
29-902;200270;Centro Comunitario de Salud Familiar Santa Mónica;9;De La Araucanía;09202;Collipulli;29;A. Norte;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;200270
29-012;129012;Clínica Dental Móvil Triple. Pat. BBTD27 (Angol);9;De La Araucanía;09201;Angol;29;A. Norte;Clínica Dental Móvil;Primario;Primario;Servicio de Salud;Autogestionado;NO;Atención de Especialidad;SI;SI;129012
29-013;129013;Clínica Dental Móvil Triple. Pat. BBTD28 (Angol);9;De La Araucanía;09201;Angol;29;A. Norte;Clínica Dental Móvil;Primario;Primario;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;129013
29-102;129102;Consultorio Los Sauces;9;De La Araucanía;09206;Los Sauces;29;A. Norte;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129102
29-105;129105;Consultorio Lumaco;9;De La Araucanía;09207;Lumaco;29;A. Norte;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129105
29-300;129300;Centro de Salud Familiar Renaico;9;De La Araucanía;09209;Renaico;29;A. Norte;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129300
29-302;129302;Consultorio Ercilla;9;De La Araucanía;09204;Ercilla;29;A. Norte;Consultorio General Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129302
29-301;129301;Centro de Salud Familiar Huequén;9;De La Araucanía;09201;Angol;29;A. Norte;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129301
29-303;129303;Centro de Salud Familiar Alemania de Angol;9;De La Araucanía;09201;Angol;29;A. Norte;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129303
29-304;129304;Centro de Salud Familiar Piedra del Águila;9;De La Araucanía;09201;Angol;29;A. Norte;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129304
29-318;129318;Centro de Salud Familiar Victoria;9;De La Araucanía;09211;Victoria;29;A. Norte;Consultorio General Urbano;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129318
29-010;129010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Araucanía Norte);9;De La Araucanía;09201;Angol;29;A. Norte;Dirección Servicio de Salud;No Aplica;No Aplica;Servicio de Salud;No Autogestionado;NO;No Especialidad;SI;SI;129010
29-100;129100;Hospital Dr. Mauricio Heyermann (Angol);9;De La Araucanía;09201;Angol;29;A. Norte;Establecimiento Alta Complejidad;Secundario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;129100
29-106;129106;Hospital San José de Victoria;9;De La Araucanía;09211;Victoria;29;A. Norte;Establecimiento Alta Complejidad;Secundario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;129106
29-101;129101;Hospital de Purén;9;De La Araucanía;09208;Purén;29;A. Norte;Establecimiento Baja Complejidad;Primario;Terciario;Servicio de Salud;No Autogestionado;SI;No Especialidad;SI;SI;129101
