Código;Prestación;COD;Tipo de lista;Vigencia Entrada;Vigencia Salida;Nombre Tipo de Procedimiento;Especialidad;Edad_Min año;Edad_Max año;tipo de Especialidad
09-001;Cirugía Y Traumatología Buco Maxilofacial;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-002;Cirugía Bucal;1;Consulta Nueva de especialidad;31-12-2008;31-12-2024;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-003;Endodoncia;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;6;150;Odontológica
09-004;Imagenología Oral Y Maxilofacial;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-005;Implantologia Buco Maxilofacial;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-007;Odontopediatría;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-008;Ortodoncia Y Ortopedia Dento Máxilo Facial;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-009;Patología Oral;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-010;Periodoncia;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
09-030;Rehabilitación Oral Fija;1;Consulta Nueva de especialidad;31-12-2008;30-09-2025;CONSULTA NUEVA;Odontología;15;150;Odontológica
09-011;Rehabilitación Oral Removible;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;6;150;Odontológica
09-014;Trastornos Temporomandibulares Y Dolor Orofacial;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Odontología;0;150;Odontológica
07-002;Anestesiología;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Anestesiología;0;150;Médica
07-003;Cardiología;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cardiología;15;150;Médica
07-004;Cirugía General;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cirugía General;15;150;Médica
07-005;Cirugía De Cabeza, Cuello Y Maxilofacial;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cirugía De Cabeza Y Cuello;15;150;Médica
07-006;Cirugía Cardiovascular;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cirugía Cardiovascular;0;150;Médica
07-007;Cirugía De Tórax;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cirugía De Tórax;15;150;Médica
07-008;Cirugía Plástica Y Reparadora;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cirugía Plástica Y Reparadora;0;150;Médica
07-009;Cirugía Pediátrica;1;Consulta Nueva de especialidad;31-12-2008;31-12-2050;CONSULTA NUEVA;Cirugía Pediátrica;0;18;Médica
