CODIGO;Base REM;Tipo de Prestación;Código SIGTE;NOMBRE;Especialidad;Complejidad Nueva;Temporabilidad;Vigencia Entrada;Vigencia Salida
1103001;SI;4;11-03-001;Malformaciones vasculares del cuero cabelludo incluye aneurisma cirsoideo;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103002;SI;4;11-03-002;Sinus pericrani, trat. quir.;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103003;SI;4;11-03-003;Hundimiento simple, reparación de;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103004;SI;4;11-03-004;Craneoplastía con autoinjerto;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103005;SI;4;11-03-005;Craneoplastía con prótesis (no incluye el valor de la prótesis);Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103006;SI;4;11-03-006;Tumores de calota, extirp. de;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103007;SI;4;11-03-007;Osteomielitis, limpieza quirúrgica;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103008;SI;4;11-03-008;Craniectomías descompresivas;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103009;SI;4;11-03-009;Reparación de fractura crecedora;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103010;SI;4;11-03-010;Craneotomías lineales;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103011;SI;4;11-03-011;Craniectomías c/s remodelación ósea;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103014;SI;4;11-03-014;Hematoma o absceso extradural, vaciamiento de;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103015;SI;4;11-03-015;Reparación de fístula de LCR;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103016;SI;4;11-03-016;Hematoma, empiema o colección subdural, vaciamiento de;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103017;SI;4;11-03-017;Quistes aracnoidales encefálicos, trat. quir. (suprasellares, temporales, cerebelosos, etc.);Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103018;SI;4;11-03-018;Ventriculostomía o instalación de derivativa ventricular externa o instalación de captor para medición de pic o punción biopsia o reservorio para administración de medicamentos;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103019;SI;4;11-03-019;Absceso cerebral, trat. quir.;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103020;SI;4;11-03-020;Tratamiento quirúrgico del traumatismo craneoencefálico  abierto o penetrante (herida a bala u otro elemento penetrante);Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103021;SI;4;11-03-021;Hundimiento expuesto, repar. de;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
1103022;SI;4;11-03-022;Lobectomías por contusión cerebral;Neurocirugía;Cirugía Mayor;Antigua;31-12-2008;31-12-2050
