Propuesta de Código;Tipo de LE;Glosa;Especialidad;tipo de Especialidad;Complejidad Nueva;Oncológicas;Edad_Min año;Edad_Max año;Edad_Min días;Edad_Max días
09-001;NO GES;Cirugía Y Traumatología Buco Maxilofacial;Cirugía Y Traumatología Buco Maxilofacial;Odontológica;Consulta;;0;150;0;54787,5
09-002;NO GES;Cirugía Bucal;Cirugía Bucal;Odontológica;Consulta;;0;150;0;54787,5
09-003;NO GES;Endodoncia;Endodoncia;Odontológica;Consulta;;0;150;0;54787,5
09-004;NO GES;Imagenología Oral Y Maxilofacial;Imagenología Oral Y Maxilofacial;Odontológica;Consulta;;0;150;0;54787,5
09-005;NO GES;Implantologia Buco Maxilofacial;Implantologia Buco Maxilofacial;Odontológica;Consulta;;0;150;0;54787,5
09-007;NO GES;Odontopediatría;Odontopediatría;Odontológica;Consulta;;0;15;0;5478,75
09-008;NO GES;Ortodoncia Y Ortopedia Dento Máxilo Facial;Ortodoncia Y Ortopedia Dento Máxilo Facial;Odontológica;Consulta;;0;150;0;54787,5
09-009;NO GES;Patología Oral;Patología Oral;Odontológica;Consulta;;0;150;0;54787,5
09-010;NO GES;Periodoncia;Periodoncia;Odontológica;Consulta;;0;150;0;54787,5
09-030;NO GES;Rehabilitación Oral Fija;Rehabilitación Oral Fija;Odontológica;Consulta;;15;150;5478,75;54787,5
09-011;NO GES;Rehabilitación Oral Removible;Rehabilitación Oral Removible;Odontológica;Consulta;;15;150;5478,75;54787,5
09-014;NO GES;Trastornos Temporomandibulares Y Dolor Orofacial;Trastornos Temporomandibulares Y Dolor Orofacial;Odontológica;Consulta;;0;150;0;54787,5
07-002;NO GES;Anestesiología;Anestesiología;Médica;Consulta;;0;150;0;54787,5
07-003;NO GES;Cardiología;Cardiología;Médica;Consulta;;15;150;5478,75;54787,5
07-004;NO GES;Cirugía General;Cirugía General;Médica;Consulta;;15;150;5478,75;54787,5
07-005;NO GES;Cirugía De Cabeza, Cuello Y Maxilofacial;Cirugía De Cabeza, Cuello Y Maxilofacial;Médica;Consulta;;15;150;5478,75;54787,5
07-006;NO GES;Cirugía Cardiovascular;Cirugía Cardiovascular;Médica;Consulta;;0;150;0;54787,5
07-007;NO GES;Cirugía De Tórax;Cirugía De Tórax;Médica;Consulta;;15;150;5478,75;54787,5
07-008;NO GES;Cirugía Plástica Y Reparadora;Cirugía Plástica Y Reparadora;Médica;Consulta;;0;150;0;54787,5
07-009;NO GES;Cirugía Pediátrica;Cirugía Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-010;NO GES;Cirugía Vascular Periférica;Cirugía Vascular Periférica;Médica;Consulta;;15;150;5478,75;54787,5
07-011;NO GES;Coloproctología;Coloproctología;Médica;Consulta;;15;150;5478,75;54787,5
07-012;NO GES;Dermatología;Dermatología;Médica;Consulta;;0;150;0;54787,5
07-013;NO GES;Diabetología;Diabetología;Médica;Consulta;;0;150;0;54787,5
07-014;NO GES;Endocrinología Adulto;Endocrinología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-015;NO GES;Endocrinología Pediátrica;Endocrinología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-016;NO GES;Enfermedades Respiratorias Del Adulto (Broncopulmonar);Enfermedades Respiratorias Del Adulto (Broncopulmonar);Médica;Consulta;;15;150;5478,75;54787,5
07-017;NO GES;Enfermedades Respiratorias Pediátricas (Broncopulmonar Pediatrico);Enfermedades Respiratorias Pediátricas (Broncopulmonar Pediatrico);Médica;Consulta;;0;15;0;5478,75
07-018;NO GES;Gastroenterología Adulto;Gastroenterología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-019;NO GES;Gastroenterología Pediátrica;Gastroenterología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-020;NO GES;Genética Clínica;Genética Clínica;Médica;Consulta;;0;150;0;54787,5
07-021;NO GES;Geriatría;Geriatría;Médica;Consulta;;60;150;21915;54787,5
07-022;NO GES;Ginecología Pediátrica Y De La Adolescencia;Ginecología Pediátrica Y De La Adolescencia;Médica;Consulta;;0;18;0;6574,5
07-023;NO GES;Hematología;Hematología;Médica;Consulta;;15;150;5478,75;54787,5
07-024;NO GES;Imagenología;Imagenología;Médica;Consulta;;0;150;0;54787,5
07-025;NO GES;Infectología;Infectología;Médica;Consulta;;0;150;0;54787,5
07-026;NO GES;Inmunología;Inmunología;Médica;Consulta;;0;150;0;54787,5
07-027;NO GES;Laboratorio Clínico;Laboratorio Clínico;Médica;Consulta;;0;150;0;54787,5
07-028;NO GES;Medicina Familiar;Medicina Familiar;Médica;Consulta;;0;150;0;54787,5
07-029;NO GES;Medicina Física Y Rehabilitación (Fisiatria Adulto);Medicina Física Y Rehabilitación (Fisiatria Adulto);Médica;Consulta;;0;150;0;54787,5
07-030;NO GES;Medicina Interna;Medicina Interna;Médica;Consulta;;15;150;5478,75;54787,5
07-037;NO GES;Nefrología Adulto;Nefrología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-038;NO GES;Nefrología Pediátrico;Nefrología Pediátrico;Médica;Consulta;;0;15;0;5478,75
07-039;NO GES;Neonatología;Neonatología;Médica;Consulta;;0;0,2;0;73,05
07-040;NO GES;Neurocirugía;Neurocirugía;Médica;Consulta;;0;150;0;54787,5
07-041;NO GES;Neurología Adulto;Neurología Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-042;NO GES;Neurología Pediátrica;Neurología Pediátrica;Médica;Consulta;;0;15;0;5478,75
07-044;NO GES;Oftalmología;Oftalmología;Médica;Consulta;;0;150;0;54787,5
07-045;NO GES;Oncología Médica;Oncología Médica;Médica;Consulta;;0;150;0;54787,5
07-046;NO GES;Otorrinolaringología;Otorrinolaringología;Médica;Consulta;;0;150;0;54787,5
07-047;NO GES;Pediatría;Pediatría;Médica;Consulta;;0;15;0;5478,75
07-048;NO GES;Psiquiatría Adulto;Psiquiatría Adulto;Médica;Consulta;;15;150;5478,75;54787,5
07-049;NO GES;Psiquiatría Pediátrica Y De La Adolescencia;Psiquiatría Pediátrica Y De La Adolescencia;Médica;Consulta;;0;18;0;6574,5
07-051;NO GES;Reumatología;Reumatología;Médica;Consulta;;15;150;5478,75;54787,5
07-052;NO GES;Salud Pública;Salud Pública;Médica;Consulta;;0;150;0;54787,5
07-053;NO GES;Traumatología Y Ortopedia;Traumatología Y Ortopedia;Médica;Consulta;;15;150;5478,75;54787,5
07-054;NO GES;Urología;Urología;Médica;Consulta;;15;150;5478,75;54787,5
